Variant i;Variant j;Total Time;Summarization Time;Mapping Time;Number of Events;Average Number of Application;Average Number of Offer;Largest Type Object Set;Cost;Lane Optionality;n;;;1;2;3;4;5
1;7;27.8309317;4.1799547;23.650977;31;1;2;2;22;0;2;;;;;;;
1;8;15.2401139;2.6368063;12.6033076;31;1;1.5;2;11;1;2;;;;;;;
1;9;132.8497656;4.4673082;128.3824574;33;1;2;2;20;0;2;;;;;;;
2;3;3.8506368;0.3116042;3.5390326;28;1;1.5;2;13;1;2;;;;;;;
2;4;0.7425029;0.0355619;0.706941;28;1;2;2;6;0;2;;;;;;;
2;5;1.1179552;0.4567517;0.6612035;26;1;1.5;2;11;1;2;;;;;;;
2;6;0.1201736;0.0352181;0.0849555;28;1;2;2;5;0;2;;;;;;;
2;7;2.5638674;0.5288001;2.0350673;27;1;2;2;18;0;2;;;;;;;
2;8;1.6509462;0.7532331;0.8977131;27;1;1.5;2;12;1;2;;;;;;;
2;9;5.0017074;0.3809667;4.6207407;29;1;2;2;17;0;2;;;;;;;
3;4;18.0936343;0.7426022;17.3510321;30;1;1.5;2;11;1;2;;;;;;;
3;5;2.0215233;1.3397339;0.6817894;28;1;1;1;9;0;2;;;;;;;
3;6;18.6817026;0.8117117;17.8699909;30;1;1.5;2;12;1;2;;;;;;;
3;7;4.4083824;3.2773615;1.1310209;29;1;1.5;2;16;1;2;;;;;;;
3;8;2.7251655;1.7586528;0.9665127;29;1;1;1;7;0;2;;;;;;;
3;9;3.278422;2.1513183;1.1271037;31;1;1.5;2;13;1;2;;;;;;;
4;5;3.6374359;1.1078688;2.5295671;28;1;1.5;2;14;1;2;;;;;;;
4;6;2.3431962;0.0405606;2.3026356;30;1;2;2;7;0;2;;;;;;;
4;7;10.9372454;2.1803637;8.7568817;29;1;2;2;19;0;2;;;;;;;
4;8;4.8829197;1.3372886;3.5456311;29;1;1.5;2;13;1;2;;;;;;;
4;9;29.9251304;1.8929598;28.0321706;31;1;2;2;19;0;2;;;;;;;
5;6;6.3399025;1.3415621;4.9983404;28;1;1.5;2;11;1;2;;;;;;;
5;7;0.2886275;0.0670209;0.2216066;27;1;1.5;2;11;1;2;;;;;;;
5;8;0.2819149;0.2735886;0.0083263;27;1;1;1;3;0;2;;;;;;;
5;9;7.081254;3.4988384;3.5824156;29;1;1.5;2;14;1;2;;;;;;;
6;7;12.6573299;1.9340458;10.7232841;29;1;2;2;20;0;2;;;;;;;
6;8;9.7718919;1.7640469;8.007845;29;1;1.5;2;10;1;2;;;;;;;
6;9;49.3171849;2.0664083;47.2507766;31;1;2;2;19;0;2;;;;;;;
7;8;1.9013485;0.926565;0.9747835;28;1;1.5;2;14;1;2;;;;;;;
7;9;3.7100061;2.1680646;1.5419415;30;1;2;2;12;0;2;;;;;;;
8;9;20.2627421;8.3790908;11.8836513;30;1;1.5;2;15;1;2;;;;;;;
0;1;0.1745975;0.1171325;0.057465;22;1;1;1;11;0;2;;;;;;;
0;2;0.0681163;0.0509543;0.017162;20;1;1;1;7;0;2;;;;;;;
0;3;0.1149799;0.0768328;0.0381471;21;1;1;1;10;0;2;;;;;;;
0;4;0.3908247;0.3837815;0.0070432;24;1;1;1;11;0;2;;;;;;;
0;5;0.0506764;0.0416058;0.0090706;21;1;1.5;2;8;1;2;;;;;;;
0;6;0.0413188;0.0300621;0.0112567;17;1;1;1;5;0;2;;;;;;;
0;7;0.0485392;0.0427336;0.0058056;18;1;1;1;6;0;2;;;;;;;
0;8;0.0800993;0.0435224;0.0365769;22;1;1;1;6;0;2;;;;;;;
0;9;0.0286297;0.023411;0.0052187;14;1;1;1;8;0;2;;;;;;;
1;2;0.0865185;0.0183073;0.0682112;26;1;1;1;4;0;2;;;;;;;
1;3;0.3147134;0.3075317;0.0071817;27;1;1;1;3;0;2;;;;;;;
1;4;4.1229771;0.0596638;4.0633133;30;1;1;1;6;0;2;;;;;;;
1;5;2.7426379;0.8314167;1.9112212;27;1;1.5;2;16;1;2;;;;;;;
1;6;0.3021958;0.273582;0.0286138;23;1;1;1;10;0;2;;;;;;;
1;7;0.6327753;0.2853555;0.3474198;24;1;1;1;10;0;2;;;;;;;
1;8;2.396784;1.6461843;0.7505997;28;1;1;1;9;0;2;;;;;;;
1;9;0.1107174;0.078693;0.0320244;20;1;1;1;13;0;2;;;;;;;
2;3;0.1667836;0.1236096;0.043174;25;1;1;1;5;0;2;;;;;;;
2;4;2.0524507;0.0826534;1.9697973;28;1;1;1;6;0;2;;;;;;;
2;5;0.7230044;0.2727174;0.450287;25;1;1.5;2;13;1;2;;;;;;;
2;6;0.0976562;0.0911166;0.0065396;21;1;1;1;6;0;2;;;;;;;
2;7;0.2248966;0.1187474;0.1061492;22;1;1;1;6;0;2;;;;;;;
2;8;0.7390052;0.5710533;0.1679519;26;1;1;1;6;0;2;;;;;;;
2;9;0.0534778;0.0419317;0.0115461;18;1;1;1;11;0;2;;;;;;;
3;4;3.2148977;0.4099201;2.8049776;29;1;1;1;9;0;2;;;;;;;
3;5;0.9616497;0.1573825;0.8042672;26;1;1.5;2;14;1;2;;;;;;;
3;6;0.1768628;0.1564562;0.0204066;22;1;1;1;9;0;2;;;;;;;
3;7;0.50774;0.2192927;0.2884473;23;1;1;1;9;0;2;;;;;;;
3;8;0.6875481;0.3145063;0.3730418;27;1;1;1;8;0;2;;;;;;;
3;9;0.0793074;0.0545134;0.024794;19;1;1;1;12;0;2;;;;;;;
4;5;3.4845509;3.4488567;0.0356942;29;1;1.5;2;15;1;2;;;;;;;
4;6;2.8675095;1.2325061;1.6350034;25;1;1;1;12;0;2;;;;;;;
4;7;0.8717345;0.8639896;0.0077449;26;1;1;1;9;0;2;;;;;;;
4;8;34.1189757;6.1690129;27.9499628;30;1;1;1;10;0;2;;;;;;;
4;9;0.1816318;0.1727364;0.0088954;22;1;1;1;15;0;2;;;;;;;
5;6;0.2249287;0.1123748;0.1125539;22;1;1.5;2;13;1;2;;;;;;;
5;7;0.163531;0.1530908;0.0104402;23;1;1.5;2;12;1;2;;;;;;;
5;8;1.5999808;0.0779856;1.5219952;27;1;1.5;2;11;1;2;;;;;;;
5;9;0.0613346;0.0521329;0.0092017;19;1;1.5;2;16;1;2;;;;;;;
