Variant i;Variant j;Total Time;Summarization Time;Mapping Time;Number of Events;Average Number of Application;Average Number of Offer;Largest Type Object Set;Cost;Lane Optionality;n;;;;;;;
4;9;37.6372304;0.3175671;37.3196633;62;1;2;2;2;0;8;;;;;;;
5;6;27.1842315;0.3296446;26.8545869;58;1;2;2;2;0;8;;;;;;;
5;7;9.8776644;0.3470963;9.5305681;55;1;2;2;0;0;8;;;;;;;
5;8;16.4843335;0.2840293;16.2003042;55;1;2;2;0;0;8;;;;;;;
5;9;50.4732706;0.3327553;50.1405153;63;1;2;2;2;0;8;;;;;;;
6;7;3.6872593;0.3680217;3.3192376;55;1;2;2;3;0;8;;;;;;;
6;8;32.329135;0.3037842;32.0253508;55;1;2;2;4;0;8;;;;;;;
6;9;63.2782501;0.3447018;62.9335483;63;1;2;2;0;0;8;;;;;;;
7;8;7.0020514;0.3054172;6.6966342;52;1;2;2;0;0;8;;;;;;;
7;9;26.076169;0.3299499;25.7462191;60;1;2;2;3;0;8;;;;;;;
8;9;78.7983828;0.2517952;78.5465876;60;1;2;2;4;0;8;;;;;;;
0;1;1.0943509;0.9029404;0.1914105;28;1;1;1;10;0;2;;;;;;;
0;2;36.4899457;8.9084106;27.5815351;35;1;1.5;2;10;1;2;;;;;;;
0;3;1.0598735;0.0318636;1.0280099;29;1;1;1;8;0;2;;;;;;;
0;4;15.6387866;11.0959372;4.5428494;31;1;1.5;2;17;1;2;;;;;;;
0;5;8.348846;0.9719172;7.3769288;31;1;1;1;7;0;2;;;;;;;
0;6;41.7426631;17.3617958;24.3808673;35;1;2;3;17;1;2;;;;;;;
0;7;0.2428139;0.0355173;0.2072966;29;1;1;1;5;0;2;;;;;;;
0;8;5.450426;2.7130504;2.7373756;29;1;1;1;9;0;2;;;;;;;
0;9;0.4894041;0.4653973;0.0240068;32;1;1.5;2;10;1;2;;;;;;;
1;2;1.1757829;0.7538263;0.4219566;29;1;1.5;2;14;1;2;;;;;;;
1;3;0.1916464;0.0656931;0.1259533;23;1;1;1;6;0;2;;;;;;;
1;4;0.1015833;0.0917248;0.0098585;25;1;1.5;2;11;1;2;;;;;;;
1;5;0.5446819;0.0312964;0.5133855;25;1;1;1;5;0;2;;;;;;;
1;6;0.6173211;0.6036158;0.0137053;29;1;2;3;14;1;2;;;;;;;
1;7;0.0704621;0.062591;0.0078711;23;1;1;1;5;0;2;;;;;;;
1;8;0.0398368;0.0154644;0.0243724;23;1;1;1;3;0;2;;;;;;;
1;9;0.2584915;0.1686511;0.0898404;26;1;1.5;2;12;1;2;;;;;;;
2;3;4.6241101;0.4454975;4.1786126;30;1;1.5;2;13;1;2;;;;;;;
2;4;14.440487;7.5592315;6.8812555;32;1;2;2;21;0;2;;;;;;;
2;5;47.8050743;3.6878765;44.1171978;32;1;1.5;2;13;1;2;;;;;;;
2;6;53.4739483;4.0634234;49.4105249;36;1;2.5;3;9;1;2;;;;;;;
2;7;1.5980643;0.6238841;0.9741802;30;1;1.5;2;10;1;2;;;;;;;
2;8;2.2219929;2.2109488;0.0110441;30;1;1.5;2;11;1;2;;;;;;;
2;9;7.4239299;4.3056571;3.1182728;33;1;2;2;4;0;2;;;;;;;
3;4;2.0130321;0.5754198;1.4376123;26;1;1.5;2;14;1;2;;;;;;;
3;5;0.1344926;0.127314;0.0071786;26;1;1;1;3;0;2;;;;;;;
3;6;2.5745845;0.6813859;1.8931986;30;1;2;3;15;1;2;;;;;;;
3;7;0.1131416;0.0148704;0.0982712;24;1;1;1;3;0;2;;;;;;;
3;8;0.4875437;0.1250443;0.3624994;24;1;1;1;8;0;2;;;;;;;
3;9;1.2617665;0.0399602;1.2218063;27;1;1.5;2;12;1;2;;;;;;;
4;5;9.9177033;0.8352909;9.0824124;28;1;1.5;2;14;1;2;;;;;;;
4;6;3.8222721;3.7969416;0.0253305;32;1;2.5;3;21;1;2;;;;;;;
4;7;0.5218247;0.4923768;0.0294479;26;1;1.5;2;13;1;2;;;;;;;
4;8;0.3449395;0.1510359;0.1939036;26;1;1.5;2;13;1;2;;;;;;;
4;9;1.8295077;1.1362744;0.6932333;29;1;2;2;18;0;2;;;;;;;
5;6;29.8043639;3.1120111;26.6923528;32;1;2;3;15;1;2;;;;;;;
5;7;0.6065354;0.1707471;0.4357883;26;1;1;1;4;0;2;;;;;;;
5;8;1.7275208;0.0539835;1.6735373;26;1;1;1;7;0;2;;;;;;;
5;9;10.1954292;1.3226868;8.8727424;29;1;1.5;2;13;1;2;;;;;;;
6;7;0.9881612;0.9463224;0.0418388;30;1;2;3;14;1;2;;;;;;;
6;8;3.026336;1.8325244;1.1938116;30;1;2;3;16;1;2;;;;;;;
6;9;6.9101835;3.17011;3.7400735;33;1;2.5;3;8;1;2;;;;;;;
7;8;0.238404;0.134161;0.104243;24;1;1;1;6;0;2;;;;;;;
