Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Application,Average Number of Offer,Largest Type Object Set,Cost,Lane Optionality,n
1,8,2.39678400000048,1.6461842999997316,0.7505997000007483,28,1.0,1.0,1,9,0,2
1,9,0.11071739999897545,0.07869299999947543,0.03202439999950002,20,1.0,1.0,1,13,0,2
2,3,0.1667835999996896,0.12360959999932675,0.04317400000036287,25,1.0,1.0,1,5,0,2
2,4,2.052450699999099,0.08265339999888965,1.9697973000002094,28,1.0,1.0,1,6,0,2
2,5,0.7230043999988993,0.2727173999992374,0.45028699999966193,25,1.0,1.5,2,13,1,2
2,6,0.09765619999961928,0.09111659999871335,0.006539600000905921,21,1.0,1.0,1,6,0,2
2,7,0.2248966000006476,0.1187473999998474,0.10614920000080019,22,1.0,1.0,1,6,0,2
2,8,0.7390052000009746,0.5710533000001305,0.16795190000084403,26,1.0,1.0,1,6,0,2
2,9,0.05347780000010971,0.04193169999962265,0.011546100000487058,18,1.0,1.0,1,11,0,2
3,4,3.2148976999978913,0.4099200999989989,2.8049775999988924,29,1.0,1.0,1,9,0,2
3,5,0.9616496999988158,0.15738249999958498,0.8042671999992308,26,1.0,1.5,2,14,1,2
3,6,0.17686280000089027,0.15645620000032068,0.020406600000569597,22,1.0,1.0,1,9,0,2
3,7,0.507739999999103,0.21929269999964163,0.2884472999994614,23,1.0,1.0,1,9,0,2
3,8,0.6875480999988213,0.31450629999926605,0.3730417999995552,27,1.0,1.0,1,8,0,2
3,9,0.0793074000011984,0.05451340000035998,0.024794000000838423,19,1.0,1.0,1,12,0,2
4,5,3.484550899998794,3.4488566999989416,0.03569419999985257,29,1.0,1.5,2,15,1,2
4,6,2.86750949999805,1.2325060999992274,1.6350033999988227,25,1.0,1.0,1,12,0,2
4,7,0.8717344999986381,0.8639895999986038,0.007744900000034249,26,1.0,1.0,1,9,0,2
4,8,34.1189757000011,6.169012899999871,27.94996280000123,30,1.0,1.0,1,10,0,2
4,9,0.1816318000001047,0.1727363999998488,0.008895400000255904,22,1.0,1.0,1,15,0,2
5,6,0.22492870000132825,0.11237480000090727,0.11255390000042098,22,1.0,1.5,2,13,1,2
5,7,0.1635310000001482,0.1530908000004274,0.01044019999972079,23,1.0,1.5,2,12,1,2
5,8,1.5999807999996847,0.07798559999901045,1.5219952000006742,27,1.0,1.5,2,11,1,2
5,9,0.061334600000918726,0.05213290000028792,0.009201700000630808,19,1.0,1.5,2,16,1,2
6,7,0.08223809999981313,0.0447426999999152,0.03749539999989793,19,1.0,1.0,1,3,0,2
6,8,0.2622707000009541,0.24039640000046347,0.02187430000049062,23,1.0,1.0,1,9,0,2
6,9,0.02386629999818979,0.01674289999937173,0.0071233999988180585,15,1.0,1.0,1,6,0,2
7,8,0.9689850000013394,0.3516410000011092,0.6173440000002302,24,1.0,1.0,1,9,0,2
7,9,0.026920000002064626,0.02091190000101051,0.0060081000010541175,16,1.0,1.0,1,6,0,2
8,9,0.10473390000151994,0.07579020000048331,0.028943700001036632,20,1.0,1.0,1,14,0,2
0,1,0.20441489999939222,0.06777119999969727,0.13664369999969495,31,1.0,1.0,1,0,0,4
0,2,0.16864090000126453,0.0700170000000071,0.09862390000125743,33,1.0,1.0,1,0,0,4
0,3,4.217857899999217,0.06957479999982752,4.148283099999389,35,1.0,1.0,1,0,0,4
0,4,2.0870603999992454,0.08286589999988792,2.0041944999993575,31,1.0,1.5,2,5,1,4
0,5,0.16101670000170998,0.06909720000112429,0.09191950000058569,28,1.0,1.0,1,0,0,4
0,6,0.4735327000016696,0.06851380000080098,0.4050189000008686,29,1.0,1.0,1,0,0,4
0,7,0.9038970000001427,0.06219969999983732,0.8416973000003054,31,1.0,1.0,1,0,0,4
0,8,0.1623158999991574,0.07294929999989108,0.08936659999926633,27,1.0,1.0,1,0,0,4
0,9,0.19003479999992123,0.05586059999950521,0.13417420000041602,32,1.0,1.0,1,0,0,4
1,2,0.15854969999963942,0.06579469999996945,0.09275499999966996,30,1.0,1.0,1,0,0,4
1,3,2.057326000000103,0.06357940000089002,1.9937465999992128,32,1.0,1.0,1,0,0,4
1,4,0.5544730000001437,0.0770903000011458,0.47738269999899785,28,1.0,1.5,2,5,1,4
1,5,0.09138180000081775,0.06263620000027004,0.02874560000054771,25,1.0,1.0,1,0,0,4
1,6,0.1873065999989194,0.0633665999994264,0.12393999999949301,26,1.0,1.0,1,0,0,4
1,7,0.27521899999919697,0.05764629999976023,0.21757269999943674,28,1.0,1.0,1,0,0,4
1,8,0.09842310000021826,0.06937529999959224,0.029047800000626012,24,1.0,1.0,1,0,0,4
1,9,0.19221579999975802,0.05600099999901431,0.1362148000007437,29,1.0,1.0,1,0,0,4
2,3,2.9354202000013174,0.068583000000217,2.8668372000011004,34,1.0,1.0,1,0,0,4
2,4,0.9539831999991293,0.08309310000004189,0.8708900999990874,30,1.0,1.5,2,5,1,4
2,5,0.13184759999967355,0.06787609999992128,0.06397149999975227,27,1.0,1.0,1,0,0,4
2,6,0.3990094000000681,0.06801330000052985,0.3309960999995383,28,1.0,1.0,1,0,0,4
2,7,0.5070591999992757,0.06173979999948642,0.4453193999997893,30,1.0,1.0,1,0,0,4
2,8,0.13651199999912933,0.07243000000016764,0.06408199999896169,26,1.0,1.0,1,0,0,4
2,9,0.16775369999959366,0.05549090000022261,0.11226279999937105,31,1.0,1.0,1,3,0,4
3,4,0.12336909999976342,0.08110909999959404,0.042260000000169384,32,1.0,1.5,2,5,1,4
3,5,1.7296616000021459,0.06365130000085628,1.6660103000012896,29,1.0,1.0,1,0,0,4
3,6,0.08086439999897266,0.06673629999932018,0.014128099999652477,30,1.0,1.0,1,0,0,4
3,7,28.181832100000975,0.05892800000037823,28.122904100000596,32,1.0,1.0,1,0,0,4
3,8,0.0884819000002608,0.0726505000002362,0.015831400000024587,28,1.0,1.0,1,0,0,4
3,9,6.208937200000946,0.05865110000013374,6.150286100000812,33,1.0,1.0,1,5,0,4
4,5,0.20607400000153575,0.07744590000038443,0.12862810000115132,25,1.0,1.5,2,5,1,4
4,6,0.0969362000014371,0.08001440000043658,0.01692180000100052,26,1.0,1.5,2,5,1,4
4,7,1.6292331999993621,0.04629220000060741,1.5829409999987547,28,1.0,1.5,2,5,1,4
4,8,0.10204970000086178,0.08560209999996005,0.01644760000090173,24,1.0,1.5,2,5,1,4
4,9,2.591012099999716,0.0972500999996555,2.4937620000000607,29,1.0,1.5,2,12,1,4
5,6,0.11132889999862527,0.06262900000001537,0.04869989999860991,23,1.0,1.0,1,0,0,4
5,7,0.12021049999748357,0.05776779999905557,0.062442699998428,25,1.0,1.0,1,0,0,4
5,8,0.08869130000130099,0.06881390000125975,0.019877400000041234,21,1.0,1.0,1,0,0,4
5,9,0.9907489999986865,0.895007600000099,0.09574139999858744,26,1.0,1.0,1,6,0,4
6,7,0.713319100001172,0.05838930000027176,0.6549298000009003,26,1.0,1.0,1,0,0,4
6,8,0.08457330000055663,0.07218970000030822,0.012383600000248407,22,1.0,1.0,1,0,0,4
6,9,0.5744687999995222,0.059299900000041816,0.5151688999994803,27,1.0,1.0,1,6,0,4
7,8,0.12904799999887473,0.06486559999939345,0.06418239999948128,24,1.0,1.0,1,0,0,4
7,9,1.05328130000089,0.06884159999935946,0.9844397000015306,29,1.0,1.0,1,6,0,4
8,9,0.16476950000105717,0.05991890000041167,0.1048506000006455,25,1.0,1.0,1,7,0,4
0,1,0.6573129000007611,0.24397839999983262,0.41333450000092853,54,1.0,1.0,1,0,0,8
0,2,6.636660699998174,0.24083189999873866,6.395828799999435,56,1.0,1.0,1,0,0,8
0,3,3.131675100001303,0.2802329000005557,2.851442200000747,52,1.0,1.5,2,5,1,8
0,4,0.5993280999991839,0.24480279999988852,0.3545252999992954,49,1.0,1.0,1,0,0,8
0,5,1.0067230999993626,0.2468109999990702,0.7599121000002924,50,1.0,1.0,1,0,0,8
0,6,1.5100605999996333,0.2268948000000819,1.2831657999995514,52,1.0,1.0,1,0,0,8
0,7,0.6143121000004612,0.2690858999994816,0.3452262000009796,50,1.0,1.0,1,0,0,8
0,8,0.7102049999975861,0.21016819999931613,0.50003679999827,53,1.0,1.0,1,0,0,8
0,9,0.5715140000011161,0.23582510000051116,0.3356889000006049,51,1.0,1.0,1,0,0,8
1,2,7.421129199998177,0.2495335999992676,7.171595599998909,58,1.0,1.0,1,0,0,8
1,3,3.4487409999983356,0.2863236999983201,3.1624173000000155,54,1.0,1.5,2,5,1,8
1,4,0.5983150000010937,0.25119439999980386,0.34712060000128986,51,1.0,1.0,1,0,0,8
1,5,1.178018600001451,0.2524793000011414,0.9255393000003096,52,1.0,1.0,1,0,0,8
1,6,1.710571699999491,0.23281169999972917,1.477759999999762,54,1.0,1.0,1,0,0,8
1,7,0.620849899998575,0.27622729999893636,0.3446225999996386,52,1.0,1.0,1,0,0,8
